startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1843733569,1843733569,,,malware,,,,,
1707626939,1707626939,,,malware,,,,,
3245019537,3245019537,,,malware,,,,,
3272878203,3272878203,,,malware,,,,,
3339184740,3339184740,,,malware,,,,,
3559669962,3559669962,,,malware,,,,,
781661245,781661245,,,malware,,,,,
2732547640,2732547640,,,malware,,,,,
1728328854,1728328854,,,malware,,,,,
1729790036,1729790036,,,malware,,,,,
3726493160,3726493160,,,malware,,,,,
3105453361,3105453361,,,malware,,,,,
2015331973,2015331973,,,malware,,,,,
1082083145,1082083145,,,malware,,,,,
1542212363,1542212363,,,malware,,,,,
3170338613,3170338613,,,malware,,,,,
1000145922,1000145922,,,malware,,,,,
3195741069,3195741069,,,malware,,,,,
3390903846,3390903846,,,malware,,,,,
874984855,874984855,,,malware,,,,,
1475776498,1475776498,,,malware,,,,,
3637997717,3637997717,,,malware,,,,,
1079372040,1079372040,,,malware,,,,,
1406432745,1406432745,,,malware,,,,,
1547006041,1547006041,,,malware,,,,,
3148807415,3148807415,,,malware,,,,,
1317693607,1317693607,,,malware,,,,,
3390957254,3390957254,,,malware,,,,,
2161286651,2161286651,,,malware,,,,,
2087633824,2087633824,,,malware,,,,,
1022474449,1022474449,,,malware,,,,,
3170338659,3170338659,,,malware,,,,,
3245019448,3245019448,,,malware,,,,,
3124787304,3124787304,,,malware,,,,,
3350954433,3350954433,,,malware,,,,,
3272878593,3272878593,,,malware,,,,,
1884161770,1884161770,,,malware,,,,,
1475138158,1475138158,,,malware,,,,,
3250419000,3250419000,,,malware,,,,,
3272879213,3272879213,,,malware,,,,,
1547009086,1547009086,,,malware,,,,,
1837041906,1837041906,,,malware,,,,,
1652799880,1652799880,,,malware,,,,,
630131645,630131645,,,malware,,,,,
772052591,772052591,,,malware,,,,,
3169946846,3169946846,,,malware,,,,,
3188703257,3188703257,,,malware,,,,,
1346461169,1346461169,,,malware,,,,,
1500277101,1500277101,,,malware,,,,,
1475138172,1475138172,,,malware,,,,,
3227718404,3227718404,,,malware,,,,,
1007532549,1007532549,,,malware,,,,,
1168951705,1168951705,,,malware,,,,,
1542247754,1542247754,,,malware,,,,,
3398471875,3398471875,,,malware,,,,,
1728527239,1728527239,,,malware,,,,,
2065596851,2065596851,,,malware,,,,,
1138143051,1138143051,,,malware,,,,,
3170338618,3170338618,,,malware,,,,,
3245020148,3245020148,,,malware,,,,,
1397090681,1397090681,,,malware,,,,,
1572029522,1572029522,,,malware,,,,,
3272879204,3272879204,,,malware,,,,,
3517207622,3517207622,,,malware,,,,,
2969835423,2969835423,,,malware,,,,,
1760468586,1760468586,,,malware,,,,,
1085724484,1085724484,,,malware,,,,,
628843452,628843452,,,malware,,,,,
520568722,520568722,,,malware,,,,,
3169946836,3169946836,,,malware,,,,,
3168508644,3168508644,,,malware,,,,,
1311694577,1311694577,,,malware,,,,,
3105453908,3105453908,,,malware,,,,,
1107805861,1107805861,,,malware,,,,,
1318688694,1318688694,,,malware,,,,,
3245019928,3245019928,,,malware,,,,,
1567827486,1567827486,,,malware,,,,,
3416965399,3416965399,,,malware,,,,,
3251233678,3251233678,,,malware,,,,,
1729321334,1729321334,,,malware,,,,,
3261939843,3261939843,,,malware,,,,,
3583197972,3583197972,,,malware,,,,,
1743148271,1743148271,,,malware,,,,,
3635438832,3635438832,,,malware,,,,,
3272879732,3272879732,,,malware,,,,,
3106114070,3106114070,,,malware,,,,,
1843778298,1843778298,,,malware,,,,,
781661375,781661375,,,malware,,,,,
3393391979,3393391979,,,malware,,,,,
3169946848,3169946848,,,malware,,,,,
1393557234,1393557234,,,malware,,,,,
3196067073,3196067073,,,malware,,,,,
3272878569,3272878569,,,malware,,,,,
1476306725,1476306725,,,malware,,,,,
2017435075,2017435075,,,malware,,,,,
3351869881,3351869881,,,malware,,,,,
985858308,985858308,,,malware,,,,,
3195741068,3195741068,,,malware,,,,,
1897784856,1897784856,,,malware,,,,,
1475200757,1475200757,,,malware,,,,,
794366702,794366702,,,malware,,,,,
